
======================= START! ========================

Dataset:
	Train set size = 4399
	Test set size = 488
	Vocabulary size = 8713
	Input layer size = 142
	Number of classes = 2

Output folder: /home/anhtu/IT/GR3/event-detection-cnn/output/run20180526-100806
Data processing OK, creating network...
Step 34 of 340 (epoch 1), validation accuracy: 0.880258, validation loss: 77.1746
Step 68 of 340 (epoch 2), validation accuracy: 0.884615, validation loss: 77.7912
Step 102 of 340 (epoch 3), validation accuracy: 0.888522, validation loss: 71.6842
Step 136 of 340 (epoch 4), validation accuracy: 0.894381, validation loss: 71.3552
Step 170 of 340 (epoch 5), validation accuracy: 0.896785, validation loss: 72.7536
Step 204 of 340 (epoch 6), validation accuracy: 0.898738, validation loss: 68.0875
Step 238 of 340 (epoch 7), validation accuracy: 0.898738, validation loss: 68.8596
Step 272 of 340 (epoch 8), validation accuracy: 0.900691, validation loss: 68.3929
Step 306 of 340 (epoch 9), validation accuracy: 0.900691, validation loss: 68.4744
Step 340 of 340 (epoch 10), validation accuracy: 0.900691, validation loss: 67.7427
End of training, validation accuracy: 0.900691, validation loss: 64.9094
